time,s	KORAD,voltage	KORAD,current	KEYSIGHT,voltage	RIGOL,current
0.010	00.000	00.000	+3.22449843E-03	3.19813457E-05
5.000	00.000	00.008	+1.77185032E-03	9.78030307E-03
10.000	00.000	00.008	+1.77124428E-03	9.78312750E-03
15.000	00.000	00.008	+1.77099447E-03	9.77424720E-03
20.000	00.002	00.017	+3.58260281E-03	1.97711512E-02
25.000	00.002	00.017	+3.58681964E-03	1.97750185E-02
30.000	00.002	00.017	+3.58632000E-03	1.98060958E-02
35.000	00.004	00.028	+5.49381207E-03	3.02650843E-02
40.000	00.004	00.028	+5.49991178E-03	3.02647805E-02
45.000	00.004	00.028	+5.86751154E-03	3.02577466E-02
50.000	00.028	00.039	+7.34574746E-03	4.02696352E-02
55.000	00.005	00.039	+7.35805098E-03	4.02730824E-02
60.000	00.005	00.039	+8.28034081E-03	4.02747948E-02
65.000	00.007	00.048	+9.23280074E-03	5.02938900E-02
70.000	00.007	00.048	+9.25020239E-03	5.02931975E-02
75.000	00.007	00.048	+9.90082244E-03	5.03033729E-02
80.000	00.009	00.057	+1.11568455E-02	6.03115190E-02
85.000	00.009	00.057	+1.11840132E-02	6.03324089E-02
90.035	00.009	00.057	+1.12002467E-02	6.03204765E-02
95.000	00.011	00.067	+1.31166282E-02	7.02431061E-02
100.000	00.011	00.067	+1.31576515E-02	7.02506310E-02
105.000	00.011	00.067	+1.31759899E-02	7.02435188E-02
110.000	00.013	00.077	+1.51558667E-02	8.02541847E-02
115.000	00.013	00.077	+1.52085643E-02	8.02457729E-02
120.000	00.013	00.077	+1.52352416E-02	8.02351294E-02
125.000	00.016	00.088	+1.72684729E-02	9.02629112E-02
130.000	00.016	00.088	+1.73454029E-02	9.02475353E-02
135.000	00.016	00.088	+1.73757650E-02	9.02499508E-02
140.000	00.018	00.098	+1.95826473E-02	1.00771428E-01
145.000	00.018	00.098	+1.96796043E-02	1.00784725E-01
150.001	00.018	00.098	+1.97301253E-02	1.00787924E-01
155.000	00.020	00.109	+2.18970230E-02	1.10799553E-01
160.000	00.020	00.109	+2.20181522E-02	1.10784339E-01
165.000	00.020	00.109	+2.24837776E-02	1.10789759E-01
170.000	00.022	00.118	+2.43374664E-02	1.20816433E-01
175.000	00.022	00.118	+2.44880926E-02	1.20832163E-01
180.000	00.023	00.118	+2.51522536E-02	1.20833888E-01
185.000	00.025	00.128	+2.70516266E-02	1.31431710E-01
190.000	00.025	00.128	+2.72410069E-02	1.31438672E-01
195.000	00.026	00.128	+2.84276247E-02	1.31434630E-01
200.000	00.028	00.138	+2.98146124E-02	1.41451871E-01
205.000	00.028	00.138	+3.00337441E-02	1.41478218E-01
210.000	00.028	00.138	+3.01573484E-02	1.41474841E-01
215.000	00.031	00.149	+3.27585934E-02	1.51491709E-01
220.000	00.031	00.149	+3.30162919E-02	1.51491721E-01
225.000	00.031	00.149	+3.31644360E-02	1.51546826E-01
230.000	00.034	00.158	+3.59090949E-02	1.61566689E-01
