time,s	KORAD,voltage	KORAD,current	KEYSIGHT,voltage	RIGOL,current
0.015	00.000	00.000	+4.19450806E-04	9.96426610E-03
5.000	00.014	00.009	+6.12655396E-03	1.02164668E-02
10.000	00.014	00.008	+6.11095424E-03	1.02071841E-02
15.000	00.014	00.008	+6.10440577E-03	1.02092349E-02
20.000	00.030	00.018	+1.20236481E-02	2.00645051E-02
25.000	00.030	00.018	+1.20468372E-02	2.00638369E-02
30.000	00.030	00.018	+1.20563973E-02	2.00575473E-02
35.000	00.046	00.029	+1.83306144E-02	3.04301839E-02
40.000	00.046	00.029	+1.83681726E-02	3.04138158E-02
45.000	00.046	00.029	+1.84050600E-02	3.04245727E-02
50.000	00.062	00.039	+2.45120727E-02	4.03150640E-02
55.000	00.062	00.039	+2.46033626E-02	4.03336911E-02
60.000	00.063	00.039	+2.46748937E-02	4.03272141E-02
65.000	00.079	00.049	+3.09398721E-02	5.02612502E-02
70.000	00.079	00.049	+3.10949881E-02	5.02671907E-02
75.000	00.079	00.049	+3.12079265E-02	5.02632446E-02
80.000	00.096	00.059	+3.76692778E-02	6.02035748E-02
85.000	00.096	00.059	+3.79031025E-02	6.02060337E-02
90.000	00.097	00.059	+3.80592247E-02	6.02066030E-02
95.000	00.113	00.068	+4.46876300E-02	7.00455660E-02
100.000	00.114	00.068	+4.50042254E-02	7.00512266E-02
105.000	00.114	00.068	+4.52277937E-02	7.00382058E-02
110.000	00.132	00.078	+5.21738260E-02	7.99846796E-02
115.000	00.133	00.078	+5.25882064E-02	7.99848045E-02
120.000	00.133	00.078	+5.28920842E-02	7.99907458E-02
125.000	00.151	00.088	+6.01376664E-02	8.99184345E-02
130.000	00.152	00.088	+6.06702962E-02	8.99331885E-02
135.000	00.153	00.088	+6.10388605E-02	8.99228111E-02
140.000	00.172	00.099	+6.89706063E-02	1.00360745E-01
145.000	00.173	00.099	+6.96117287E-02	1.00369982E-01
150.000	00.174	00.099	+7.00583079E-02	1.00355479E-01
155.000	00.193	00.109	+7.79871206E-02	1.10284511E-01
160.000	00.194	00.109	+7.87082818E-02	1.10274163E-01
165.000	00.195	00.109	+7.92087198E-02	1.10274188E-01
170.000	00.215	00.118	+8.75008901E-02	1.20216520E-01
175.000	00.217	00.118	+8.83159688E-02	1.20209443E-01
180.000	00.218	00.118	+8.88657504E-02	1.20253794E-01
185.000	00.239	00.129	+9.79954553E-02	1.30767078E-01
190.000	00.241	00.129	+9.89235928E-02	1.30776946E-01
195.000	00.242	00.129	+9.95171619E-02	1.30772310E-01
200.000	00.263	00.139	+1.08548487E-01	1.40717671E-01
205.000	00.265	00.139	+1.09497718E-01	1.40737299E-01
210.000	00.266	00.139	+1.10071457E-01	1.40728991E-01
215.000	00.288	00.149	+1.19407999E-01	1.50690148E-01
220.000	00.290	00.149	+1.20389794E-01	1.50678073E-01
225.000	00.291	00.149	+1.20936356E-01	1.50663860E-01
230.000	00.314	00.159	+1.30611399E-01	1.60619807E-01
235.000	00.316	00.159	+1.31615805E-01	1.60625242E-01
240.000	00.317	00.159	+1.32148943E-01	1.60636825E-01
245.000	00.340	00.169	+1.42076302E-01	1.70538156E-01
250.000	00.342	00.169	+1.43085924E-01	1.70526388E-01
255.000	00.343	00.169	+1.43586004E-01	1.70548394E-01
260.000	00.367	00.179	+1.53881090E-01	1.80491899E-01
265.000	00.369	00.179	+1.54882898E-01	1.80492150E-01
270.000	00.370	00.179	+1.55349358E-01	1.80486239E-01
275.000	00.394	00.189	+1.65957436E-01	1.90469602E-01
280.000	00.396	00.189	+1.66941829E-01	1.90477687E-01
285.000	00.397	00.189	+1.67361018E-01	1.90468919E-01
290.000	00.423	00.199	+1.78706685E-01	2.00837734E-01
295.000	00.425	00.199	+1.79694732E-01	2.00839468E-01
300.000	00.426	00.199	+1.80087957E-01	2.00832414E-01
305.000	00.452	00.209	+1.91275903E-01	2.10810496E-01
310.000	00.454	00.209	+1.92168136E-01	2.10772174E-01
315.000	00.454	00.209	+1.92491855E-01	2.10786107E-01
320.000	00.481	00.219	+2.03918768E-01	2.20699239E-01
325.000	00.483	00.219	+2.04811584E-01	2.20722613E-01
330.000	00.483	00.219	+2.05097755E-01	2.20726478E-01
335.000	00.510	00.229	+2.16788982E-01	2.30644648E-01
340.000	00.512	00.229	+2.17611615E-01	2.30633665E-01
345.000	00.512	00.229	+2.17874053E-01	2.30634924E-01
350.000	00.540	00.239	+2.29874041E-01	2.40610045E-01
355.000	00.542	00.239	+2.30663504E-01	2.40608227E-01
360.000	00.543	00.239	+2.30876800E-01	2.40612465E-01
365.000	00.571	00.249	+2.43099357E-01	2.50550072E-01
370.000	00.572	00.249	+2.43862356E-01	2.50559137E-01
375.000	00.573	00.249	+2.44042974E-01	2.50543680E-01
380.000	00.602	00.259	+2.56561997E-01	2.60535713E-01
385.000	00.603	00.259	+2.57275162E-01	2.60528131E-01
390.000	00.604	00.259	+2.57428073E-01	2.60536898E-01
395.000	00.633	00.269	+2.70253202E-01	2.70560290E-01
400.000	00.635	00.269	+2.70920976E-01	2.70587224E-01
405.000	00.635	00.269	+2.71044335E-01	2.70580100E-01
410.000	00.665	00.279	+2.83998611E-01	2.80523700E-01
415.000	00.666	00.279	+2.84617791E-01	2.80521820E-01
420.000	00.667	00.279	+2.84702585E-01	2.80521022E-01
425.000	00.697	00.289	+2.97900349E-01	2.90473222E-01
430.000	00.698	00.289	+2.98463908E-01	2.90476186E-01
435.000	00.698	00.289	+2.98548148E-01	2.90484959E-01
440.000	00.729	00.299	+3.11854539E-01	3.00366097E-01
445.000	00.730	00.299	+3.12358983E-01	3.00365565E-01
450.000	00.731	00.299	+3.12419964E-01	3.00357097E-01
455.000	00.762	00.308	+3.26043774E-01	3.10311712E-01
460.000	00.763	00.308	+3.26500961E-01	3.10321370E-01
465.000	00.763	00.308	+3.26554822E-01	3.10309301E-01
470.000	00.796	00.319	+3.41051953E-01	3.20748101E-01
475.000	00.797	00.319	+3.41482949E-01	3.20745710E-01
480.000	00.797	00.319	+3.41522427E-01	3.20741329E-01
485.000	00.830	00.329	+3.55453161E-01	3.30642375E-01
490.000	00.831	00.329	+3.55798867E-01	3.30611944E-01
495.000	00.831	00.329	+3.55838262E-01	3.30633808E-01
500.000	00.863	00.339	+3.70033951E-01	3.40571903E-01
505.000	00.864	00.339	+3.70364386E-01	3.40574238E-01
510.000	00.864	00.339	+3.70393811E-01	3.40573766E-01
515.000	00.898	00.349	+3.84771448E-01	3.50529570E-01
520.000	00.899	00.349	+3.85059511E-01	3.50531068E-01
525.000	00.899	00.349	+3.85075821E-01	3.50536399E-01
530.000	00.932	00.359	+3.99643741E-01	3.60479180E-01
535.000	00.933	00.359	+3.99906951E-01	3.60490630E-01
540.000	00.933	00.359	+3.99912929E-01	3.60488990E-01
545.000	00.967	00.967	+4.14586766E-01	3.70401785E-01
550.000	00.968	00.369	+4.14805156E-01	3.70408621E-01
555.000	00.968	00.369	+4.14808241E-01	3.70408993E-01
560.000	01.002	00.378	+4.29656827E-01	3.80351463E-01
565.000	01.003	00.378	+4.29834287E-01	3.80345098E-01
570.000	01.003	00.378	+4.29835717E-01	3.80364616E-01
575.000	01.038	00.388	+4.44886923E-01	3.90303326E-01
580.000	01.039	00.388	+4.45053660E-01	3.90312125E-01
585.000	01.039	00.388	+4.45051405E-01	3.90305400E-01
590.000	01.076	00.399	+4.60750432E-01	4.00611531E-01
595.000	01.077	00.399	+4.60876320E-01	4.00601914E-01
600.000	01.077	00.399	+4.60874733E-01	4.00578938E-01
605.000	01.113	00.409	+4.76186429E-01	4.10518265E-01
610.000	01.113	00.409	+4.76303888E-01	4.10534137E-01
615.000	01.113	00.409	+4.76296574E-01	4.10527386E-01
620.000	01.151	00.418	+4.91737433E-01	4.20462597E-01
625.000	01.151	00.418	+4.91836243E-01	4.20458634E-01
630.000	01.151	00.418	+4.91810151E-01	4.20457212E-01
635.000	01.190	00.429	+5.08210715E-01	4.30908839E-01
640.000	01.190	00.429	+5.08293208E-01	4.30930927E-01
645.000	01.190	00.429	+5.08276010E-01	4.30920404E-01
650.000	01.228	00.439	+5.24007382E-01	4.40851641E-01
655.000	01.228	00.439	+5.24050556E-01	4.40855183E-01
660.000	01.228	00.439	+5.23996695E-01	4.40826518E-01
665.000	01.265	00.449	+5.39882695E-01	4.50800963E-01
670.000	01.266	00.449	+5.39923101E-01	4.50797815E-01
675.000	01.266	00.449	+5.39905718E-01	4.50810467E-01
680.000	01.304	00.459	+5.55897275E-01	4.60766429E-01
685.000	01.304	00.459	+5.55910918E-01	4.60764086E-01
690.000	01.304	00.459	+5.55871893E-01	4.60763214E-01
695.000	01.341	00.469	+5.71791431E-01	4.70606976E-01
700.000	01.342	00.469	+5.71814560E-01	4.70620863E-01
705.000	01.342	00.469	+5.71767592E-01	4.70613674E-01
710.000	01.381	00.478	+5.87988538E-01	4.80552207E-01
715.000	01.381	00.478	+5.87978041E-01	4.80568344E-01
720.000	01.381	00.478	+5.87948178E-01	4.80574188E-01
725.000	01.420	00.489	+6.04305800E-01	4.90537433E-01
730.000	01.420	00.489	+6.04274466E-01	4.90524395E-01
735.000	01.420	00.489	+6.04217149E-01	4.90529814E-01
740.000	01.459	00.498	+6.20586047E-01	5.00422548E-01
745.000	01.460	00.498	+6.20565245E-01	5.00414954E-01
750.000	01.460	00.498	+6.20512016E-01	5.00430218E-01
755.000	01.499	00.508	+6.37062637E-01	5.10368251E-01
760.000	01.499	00.508	+6.37037690E-01	5.10391884E-01
765.000	01.499	00.508	+6.36988053E-01	5.10377410E-01
770.000	01.539	00.518	+6.53629761E-01	5.20306515E-01
775.000	01.539	00.518	+6.53632784E-01	5.20331460E-01
780.000	01.539	00.518	+6.53582536E-01	5.20343288E-01
785.000	01.582	00.529	+6.71363654E-01	5.30860301E-01
790.000	01.582	00.529	+6.71320625E-01	5.30859748E-01
795.000	01.582	00.529	+6.71289912E-01	5.30859739E-01
800.000	01.622	00.539	+6.88163717E-01	5.40789155E-01
805.000	01.622	00.539	+6.88159218E-01	5.40815188E-01
810.000	01.622	00.539	+6.88125950E-01	5.40798958E-01
815.000	01.661	00.549	+7.05112701E-01	5.50728823E-01
820.000	01.661	00.549	+7.05109315E-01	5.50736097E-01
825.000	01.661	00.549	+7.05095299E-01	5.50748089E-01
830.000	01.702	00.559	+7.22228786E-01	5.60668724E-01
835.000	01.702	00.559	+7.22258613E-01	5.60704778E-01
840.000	01.702	00.559	+7.22200008E-01	5.60677918E-01
845.000	01.742	00.569	+7.39400936E-01	5.70591102E-01
850.000	01.742	00.569	+7.39403843E-01	5.70604602E-01
855.000	01.742	00.569	+7.39379320E-01	5.70598257E-01
860.000	01.783	00.579	+7.56692591E-01	5.80501255E-01
865.000	01.783	00.579	+7.56704992E-01	5.80513938E-01
870.000	01.783	00.579	+7.56684611E-01	5.80503061E-01
875.000	01.823	00.588	+7.74239087E-01	5.90496557E-01
880.000	01.823	00.588	+7.74228849E-01	5.90485635E-01
885.000	01.823	00.588	+7.74229762E-01	5.90504517E-01
890.000	01.862	00.598	+7.91663407E-01	6.00348510E-01
895.000	01.862	00.598	+7.91649107E-01	6.00351896E-01
