time,s	KORAD,voltage	KORAD,current	KEYSIGHT,voltage	RIGOL,current
0.001	00.000	00.000	+2.65001032E-04	2.87030130E-03
1.001	00.000	00.000	+1.84240531E-05	2.77769464E-04
2.001	00.000	00.000	+1.77971958E-05	2.79829550E-04
3.001	00.018	00.099	+9.92128205E-03	1.00225452E-01
4.001	00.018	00.099	+9.92125198E-03	1.00213707E-01
5.001	00.018	00.099	+1.86317534E-02	1.00199875E-01
6.000	00.037	00.199	+1.98675736E-02	2.00590640E-01
7.000	00.037	00.199	+1.98653530E-02	2.00559392E-01
8.000	00.057	00.298	+2.97246503E-02	3.00036445E-01
9.000	00.057	00.298	+2.97238176E-02	3.00028132E-01
10.000	00.057	00.298	+3.81712934E-02	3.00027729E-01
11.000	00.076	00.399	+3.96564294E-02	4.00240360E-01
12.000	00.076	00.399	+3.96558557E-02	4.00239578E-01
13.000	00.096	00.498	+4.95500396E-02	5.00067149E-01
14.000	00.096	00.498	+4.95507682E-02	5.00054736E-01
15.000	00.096	00.498	+5.84579155E-02	5.16042541E-01
16.000	00.115	00.598	+5.94507303E-02	5.99951782E-01
17.000	00.115	00.598	+5.94502168E-02	5.99952969E-01
18.001	00.135	00.699	+6.94129548E-02	7.00459086E-01
19.001	00.135	00.699	+6.94126310E-02	7.00459361E-01
20.000	00.135	00.699	+7.81328037E-02	7.00468792E-01
21.000	00.154	00.798	+7.93295714E-02	8.00528833E-01
22.000	00.154	00.798	+7.93308691E-02	8.00503267E-01
23.000	00.173	00.898	+8.92223929E-02	9.00325966E-01
24.000	00.173	00.898	+8.92233668E-02	9.00328583E-01
25.000	00.173	00.898	+9.80544956E-02	9.51129475E-01
26.001	00.193	00.998	+9.91610953E-02	1.00057891E+00
27.000	00.193	00.998	+9.91616250E-02	1.00058687E+00
28.000	00.212	01.098	+1.09071071E-01	1.10055733E+00
29.000	00.212	01.098	+1.09070726E-01	1.10056691E+00
30.000	00.212	01.098	+1.17040715E-01	1.10055442E+00
31.000	00.232	01.199	+1.19031799E-01	1.20108885E+00
32.000	00.232	01.199	+1.19035144E-01	1.20107728E+00
33.000	00.252	01.299	+1.28933947E-01	1.30092157E+00
34.000	00.252	01.299	+1.28934290E-01	1.30092772E+00
35.001	00.252	01.299	+1.37159955E-01	1.30095063E+00
36.000	00.271	01.399	+1.38846669E-01	1.40091759E+00
37.000	00.271	01.399	+1.38847733E-01	1.40092649E+00
38.001	00.291	01.498	+1.48735419E-01	1.50067514E+00
39.001	00.291	01.498	+1.48738008E-01	1.50067217E+00
40.000	00.291	01.498	+1.57385516E-01	1.50324027E+00
41.000	00.310	01.598	+1.58650981E-01	1.60066321E+00
42.000	00.310	01.598	+1.58652783E-01	1.60065333E+00
43.000	00.330	01.698	+1.68551094E-01	1.70049185E+00
44.000	00.330	01.698	+1.68552764E-01	1.70051265E+00
45.001	00.330	01.698	+1.77183384E-01	1.70050000E+00
46.001	00.349	01.798	+1.78501154E-01	1.80082358E+00
47.000	00.349	01.798	+1.78503666E-01	1.80082563E+00
48.001	00.369	01.898	+1.88424245E-01	1.90089774E+00
49.000	00.369	01.898	+1.88426644E-01	1.90090476E+00
50.000	00.369	01.898	+1.97341716E-01	1.94071923E+00
51.000	00.388	01.998	+1.98370008E-01	2.00116138E+00
52.000	00.388	01.998	+1.98372196E-01	2.00117862E+00
53.000	00.407	02.098	+2.08272417E-01	2.10101896E+00
54.000	00.408	02.098	+2.08268617E-01	2.10094137E+00
55.001	00.408	02.098	+2.17185933E-01	2.10095326E+00
56.000	00.427	02.198	+2.18184438E-01	2.20037406E+00
57.000	00.427	02.198	+2.18189878E-01	2.20035727E+00
58.000	00.447	02.299	+2.28158640E-01	2.30088209E+00
59.000	00.447	02.299	+2.28162938E-01	2.30087729E+00
60.000	00.447	02.299	+2.36875656E-01	2.30089872E+00
61.000	00.467	02.399	+2.38087272E-01	2.40090993E+00
62.000	00.467	02.399	+2.38079615E-01	2.40078769E+00
63.000	00.486	02.498	+2.47980912E-01	2.50058531E+00
64.000	00.486	02.498	+2.47988587E-01	2.50061815E+00
65.001	00.486	02.498	+2.56753115E-01	2.51404569E+00
66.000	00.506	02.598	+2.57886924E-01	2.60034131E+00
67.000	00.506	02.598	+2.57892767E-01	2.60036452E+00
68.000	00.525	02.698	+2.67815402E-01	2.70035035E+00
69.000	00.525	02.698	+2.67823646E-01	2.70035789E+00
70.000	00.525	02.698	+2.76286533E-01	2.70036515E+00
71.001	00.545	02.799	+2.77822088E-01	2.80101052E+00
72.000	00.545	02.799	+2.77828861E-01	2.80102414E+00
73.000	00.565	02.898	+2.87738481E-01	2.90087003E+00
74.000	00.565	02.898	+2.87745515E-01	2.90085637E+00
75.001	00.565	02.898	+2.96676372E-01	2.95309509E+00
76.001	00.584	02.998	+2.97680836E-01	3.00088715E+00
77.000	00.584	02.998	+2.97688897E-01	3.00090195E+00
78.000	00.604	03.098	+3.07648814E-01	3.10122079E+00
79.000	00.604	03.098	+3.07657132E-01	3.10123462E+00
80.000	00.604	03.098	+3.16475687E-01	3.10124168E+00
81.000	00.623	03.198	+3.17595356E-01	3.20126401E+00
82.000	00.623	03.198	+3.17604181E-01	3.20125206E+00
83.000	00.643	03.298	+3.27517795E-01	3.30109199E+00
84.001	00.643	03.298	+3.27525854E-01	3.30106819E+00
85.000	00.643	03.298	+3.36418651E-01	3.30105584E+00
86.000	00.662	03.399	+3.37521229E-01	3.40160364E+00
87.001	00.662	03.399	+3.37531883E-01	3.40164155E+00
88.001	00.682	03.498	+3.47419660E-01	3.50115360E+00
89.000	00.682	03.498	+3.47433238E-01	3.50115846E+00
90.000	00.682	03.498	+3.56382423E-01	3.50575612E+00
91.000	00.702	03.599	+3.57409199E-01	3.60147944E+00
92.000	00.702	03.599	+3.57422946E-01	3.60148347E+00
93.000	00.721	03.698	+3.67346065E-01	3.70136410E+00
94.000	00.721	03.698	+3.67359895E-01	3.70137282E+00
95.000	00.721	03.698	+3.75321770E-01	3.70139245E+00
96.000	00.741	03.797	+3.77318841E-01	3.80135251E+00
97.000	00.741	03.797	+3.77325484E-01	3.80134319E+00
98.000	00.761	03.899	+3.87300293E-01	3.90169926E+00
99.000	00.761	03.899	+3.87316635E-01	3.90169088E+00
100.000	00.761	03.899	+3.95882955E-01	3.93872696E+00
101.000	00.780	03.999	+3.97274257E-01	4.00172638E+00
102.000	00.780	03.999	+3.97290481E-01	4.00174728E+00
103.000	00.800	04.098	+4.07217443E-01	4.10156519E+00
104.000	00.800	04.098	+4.07235939E-01	4.10158352E+00
105.000	00.800	04.098	+4.16121017E-01	4.10156347E+00
106.001	00.819	04.198	+4.17173550E-01	4.20133794E+00
107.000	00.819	04.198	+4.17192499E-01	4.20135529E+00
108.001	00.839	04.298	+4.27141887E-01	4.30132137E+00
109.000	00.839	04.298	+4.27163029E-01	4.30137324E+00
