time,s	KORAD,voltage	KORAD,current	KEYSIGHT,voltage	RIGOL,current
0.001	00.000	00.000	+1.87964665E-05	6.20496349E-06
1.001	00.000	00.000	+2.00363023E-05	2.07397959E-04
2.001	00.000	00.000	+2.09291692E-05	2.14881104E-04
3.000	00.008	00.098	+8.96085570E-03	1.00226921E-01
4.000	00.008	00.098	+8.95876232E-03	1.00221395E-01
5.000	00.008	00.098	+1.70341000E-02	1.17067309E-01
6.000	00.017	00.199	+1.79327080E-02	2.00588961E-01
7.000	00.017	00.199	+1.79319470E-02	2.00572415E-01
8.000	00.026	00.298	+2.68258308E-02	3.00019033E-01
9.000	00.026	00.298	+2.68246927E-02	3.00030590E-01
10.001	00.027	00.301	+3.57736174E-02	3.00016401E-01
11.000	00.036	00.399	+3.57848037E-02	4.00230117E-01
12.000	00.036	00.399	+3.57844035E-02	4.00252538E-01
13.000	00.045	00.498	+4.47071482E-02	5.00043415E-01
14.000	00.045	00.498	+4.47079856E-02	5.00052978E-01
15.001	00.045	00.498	+5.36366750E-02	5.73499174E-01
16.001	00.055	00.598	+5.36389234E-02	5.99927474E-01
17.000	00.055	00.598	+5.36382387E-02	5.99913797E-01
18.000	00.064	00.698	+6.26248165E-02	7.00440543E-01
19.000	00.064	00.698	+6.26242544E-02	7.00446338E-01
20.000	00.064	00.698	+7.06642985E-02	7.00433292E-01
21.000	00.074	00.798	+7.15690594E-02	8.00480168E-01
22.001	00.074	00.798	+7.15691866E-02	8.00458356E-01
23.000	00.083	00.898	+8.04955029E-02	9.00276152E-01
24.000	00.083	00.898	+8.04952716E-02	9.00286849E-01
25.000	00.083	00.898	+8.84099488E-02	9.00277772E-01
26.000	00.093	00.999	+8.94606635E-02	1.00053647E+00
27.000	00.093	00.999	+8.94616026E-02	1.00053464E+00
28.000	00.102	01.098	+9.84022510E-02	1.10050003E+00
29.000	00.102	01.098	+9.84021307E-02	1.10051967E+00
30.000	00.102	01.098	+1.06439561E-01	1.10551524E+00
31.000	00.112	01.199	+1.07389056E-01	1.20099668E+00
32.000	00.112	01.199	+1.07389162E-01	1.20099908E+00
33.000	00.121	01.299	+1.16323614E-01	1.30086559E+00
34.000	00.121	01.299	+1.16325001E-01	1.30087756E+00
35.000	00.121	01.299	+1.23685239E-01	1.30088672E+00
36.001	00.131	01.398	+1.25266887E-01	1.40085887E+00
37.000	00.131	01.398	+1.25269238E-01	1.40086081E+00
38.000	00.140	01.498	+1.34190264E-01	1.50061442E+00
39.000	00.140	01.498	+1.34192119E-01	1.50061790E+00
40.001	00.140	01.498	+1.41699207E-01	1.53620886E+00
41.000	00.150	01.598	+1.43137704E-01	1.60058406E+00
42.001	00.150	01.598	+1.43137463E-01	1.60060030E+00
43.000	00.159	01.698	+1.52068799E-01	1.70042585E+00
44.000	00.159	01.698	+1.52071225E-01	1.70044197E+00
45.001	00.159	01.698	+1.60084058E-01	1.70044111E+00
46.000	00.168	01.798	+1.61048641E-01	1.80076623E+00
47.000	00.168	01.798	+1.61051391E-01	1.80075933E+00
48.001	00.178	01.898	+1.70004933E-01	1.90081412E+00
49.000	00.178	01.898	+1.70008186E-01	1.90081589E+00
50.000	00.178	01.898	+1.77355620E-01	1.97084745E+00
51.000	00.188	01.998	+1.78984678E-01	2.00108020E+00
52.000	00.188	01.998	+1.78986212E-01	2.00109380E+00
53.001	00.197	02.098	+1.87921568E-01	2.10092318E+00
54.000	00.197	02.098	+1.87925105E-01	2.10093308E+00
55.001	00.197	02.098	+1.95945661E-01	2.10093206E+00
56.000	00.207	02.198	+1.96874978E-01	2.20036216E+00
57.000	00.207	02.198	+1.96878374E-01	2.20037135E+00
58.001	00.216	02.299	+2.05877249E-01	2.30087874E+00
59.001	00.216	02.299	+2.05879360E-01	2.30082796E+00
60.000	00.216	02.299	+2.13924128E-01	2.30083034E+00
61.000	00.226	02.399	+2.14840978E-01	2.40087020E+00
62.001	00.226	02.399	+2.14845338E-01	2.40085329E+00
63.000	00.235	02.498	+2.23785977E-01	2.50065777E+00
64.000	00.235	02.498	+2.23790904E-01	2.50067175E+00
65.000	00.235	02.498	+2.31828215E-01	2.55337529E+00
66.000	00.245	02.598	+2.32723471E-01	2.60029757E+00
67.001	00.245	02.598	+2.32728423E-01	2.60032878E+00
68.000	00.254	02.698	+2.41687156E-01	2.70029843E+00
69.000	00.254	02.698	+2.41692483E-01	2.70032110E+00
70.000	00.254	02.698	+2.49803429E-01	2.70031783E+00
71.000	00.264	02.798	+2.50717501E-01	2.80094508E+00
72.000	00.264	02.798	+2.50724734E-01	2.80097811E+00
73.001	00.273	02.898	+2.59675588E-01	2.90081687E+00
74.000	00.273	02.898	+2.59686078E-01	2.90083454E+00
75.001	00.273	02.898	+2.66858034E-01	2.90084894E+00
76.000	00.283	02.998	+2.68660513E-01	3.00084843E+00
77.000	00.283	02.998	+2.68670033E-01	3.00085898E+00
78.000	00.292	03.098	+2.77665263E-01	3.10114806E+00
79.000	00.292	03.098	+2.77676888E-01	3.10116248E+00
80.001	00.292	03.098	+2.86512591E-01	3.12480180E+00
81.001	00.302	03.199	+2.86651355E-01	3.20112740E+00
82.000	00.302	03.199	+2.86661949E-01	3.20111991E+00
83.000	00.311	03.298	+2.95615834E-01	3.30096007E+00
84.001	00.311	03.298	+2.95631073E-01	3.30096488E+00
85.001	00.311	03.298	+3.03402767E-01	3.30097050E+00
