0000 - *CLS             *CLS          :*CLS
0001 - *ESE             *ESE          :*ESE
0002 - *ESE?            *ESE?         :*ESE?
0003 - *ESR?            *ESR?         :*ESR?
0004 - *IDN?            *IDN?         :*IDN?
0005 - *OPC             *OPC          :*OPC
0006 - *OPC?            *OPC?         :*OPC?
0007 - *RST             *RST          :*RST
0008 - *SRE             *SRE          :*SRE
0009 - *SRE?            *SRE?         :*SRE?
000A - *STB?            *STB?         :*STB?
000B - *TST?            *TST?         :*TST?
000C - *WAI             *WAI          :*WAI
000D - *TRG             *TRG          :*TRG
000E - *PSC             *PSC          :*PSC
000F - *PSC?            *PSC?         :*PSC?
0010 - *LRN?            *LRN?         :*LRN?
0011 - CONDition?       COND?         :STATus:QUEStionable:CONDition?
0012 - ENABle           ENAB          :STATus:QUEStionable:ENABle
0013 - ENABle?          ENAB?         :STATus:QUEStionable:ENABle?
0014 - EVENt?           EVEN?         :STATus:QUEStionable[:EVENt]?
0015 - PRESet           PRES          :STATus:PRESet
0016 - CONDition?       COND?         :STATus:OPERation:CONDition?
0017 - ENABle           ENAB          :STATus:OPERation:ENABle
0018 - ENABle?          ENAB?         :STATus:OPERation:ENABle?
0019 - EVENt?           EVEN?         :STATus:OPERation[:EVENt]?
001A - IDNSet           IDNS          :IDNSet
001B - IDNSet?          IDNS?         :IDNSet?
001C - CMDSet?          CMDS?         :CMDSet?
001D - CMDSet           CMDS          :CMDSet
001E - AVERage?         AVER?         :CALCulate:AVERage:AVERage?
001F - CLEar            CLE           :CALCulate:AVERage:CLEar
0020 - COUNt?           COUN?         :CALCulate:AVERage:COUNt?
0021 - MAXimum?         MAX?          :CALCulate:AVERage:MAXimum?
0022 - MINimum?         MIN?          :CALCulate:AVERage:MINimum?
0023 - PTPeak?          PTP?          :CALCulate:AVERage:PTPeak?
0024 - SDEViation?      SDEV?         :CALCulate:AVERage:SDEViation?
0025 - REFerence?       REF?          :CALCulate:DB:REFerence?
0026 - REFerence        REF           :CALCulate:DB:REFerence
0027 - REFerence?       REF?          :CALCulate:DBM:REFerence?
0028 - REFerence        REF           :CALCulate:DBM:REFerence
0029 - FUNCtion?        FUNC?         :CALCulate:FUNCtion?
